ContentKey,en-US,fr-FR,ru-RU,be-BY,uk-UA,kk-KZ
app_title,Listening,~fr~Listening,Слушание,~by~Listening,Слухання,~kz~Listening
app_description,Single page application using aspnet core and angular,~fr~Single page application using aspnet core and angular,Приложение для улучшения навыков распознавания речи (написано с использованием технологий .net core & angular),~by~Single page application using aspnet core and angular,~ua~Single page application using aspnet core and angular,~kz~Single page application using aspnet core and angular
app_repo_url,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa
app_nav_home,Home,~fr~Home,Домашняя,~by~Home,Домашня,~kz~Home
app_nav_signalr,Chat,~fr~Chat,Разговорник,~by~Chat,Чат,~kz~Chat
app_nav_examples,Examples,~fr~Examples,Примеры,~by~Examples,Приклади,~kz~Examples
app_nav_register,Register,~fr~Register,Регистрация,~by~Register,Реєстрація,~kz~Register
app_nav_login,Login,~fr~Login,Вход,~by~Login,Вхід,~kz~Login
app_nav_crosswd_list,Crossword list,~fr-FR~Crossword list,Список кроссвордов,~be-BY~Crossword list,Список кросвордів,~kk-KZ~Crossword list
app_nav_crosswd_res,Crossword results,~fr-FR~Crossword results,Результаты кроссвордов,~be-BY~Crossword results,Результати кросвордів,~kk-KZ~Crossword results
app_nav_crosswd_admin,Manage crosswords,~fr-FR~Manage crosswords,Управление кроссвордами,~be-BY~Manage crosswords,Керування кросвордами,~kk-KZ~Manage crosswords
app_nav_logout,Logout,~fr~Logout,Выход,~by~Logout,Вихід,~kz~Logout
app_login_btn,Login,~fr~Login,Войти,~by~Login,Ввійти,~kz~Login
app_registry_btn,Register,~fr~Register,Зарегистрироваться,~by~Register,Зареєструватись,~kz~Register
app_email,Email,~fr~Email,Электронная почта,~by~Email,Електронна пошта,~kz~Email
app_password,Password,~fr~Password,Пароль,~by~Password,Пароль,~kz~Password
app_username,Username,~fr~Username,Имя в системе,~by~Username,Ім“я в системі,~kz~Username
app_firstname,Firstname,~fr~Firstname,Имя,~by~Firstname,Ім“я,~kz~Firstname
app_lastname,Lastname,~fr~Lastname,Фамилия,~by~Lastname,Прізвище,~kz~Lastname
app_mobile,Mobile,~fr~Mobile,Мобильный,~by~Mobile,Мобільний,~kz~Mobile
app_forget_password,Forget password? click here,~fr~Forget password? click here,Забыли пароль? Нажмите сюда,~by~Forget password? click here,Забули пароль? Натисніть тут,~kz~Forget password? click here
app_nav_admin,Admin,~fr-FR~Admin,Администрирование,~be-BY~Admin,Адміністрування,~kk-KZ~Admin
app_nav_results,Results,~fr-FR~Results,Результаты,~be-BY~Results,Результати,~kk-KZ~Results
app_nav_texts_list,Texts,~fr-FR~Texts,Тексты,~be-BY~Texts,Тексти,~kk-KZ~Texts
app_texts_list_header,Texts for listening,~fr-FR~Texts for listening,Тексты для прослушивания,~be-BY~Texts for listening,Тексти для прослуховування,~kk-KZ~Texts for listening
app_texts_joined_type,Joined,~fr-FR~Joined,Объединённый,~be-BY~Joined,Об“єднаний,~kk-KZ~Joined
app_texts_separated_type,Separated,~fr-FR~Separated,Разделённый,~be-BY~Separated,Розділений,~kk-KZ~Separated
app_nav_texts_admin,Manage texts,~fr-FR~Manage texts,Управление текстами,~be-BY~Manage texts,Керування текстами,~kk-KZ~Manage texts
app_nav_roles_admin,Manage roles,~fr-FR~Manage roles,Управление ролями,~be-BY~Manage roles,Керування ролями,~kk-KZ~Manage roles
app_texts_list_header_for_admin,Texts for editing,~fr-FR~Texts for editing,Тексты для изменения,~be-BY~Texts for editing,Тексти для редагування,~kk-KZ~Texts for editing
app_hotkeys,Hotkeys,~fr-FR~Hotkeys,Горячие клавиши,~be-BY~Hotkeys,Гарячі клавіші,~kk-KZ~Hotkeys
app_double_click,(double click) open hidden letter,~fr-FR~(double click) open hidden letter,(двойной клик) открыть скрытый символ,~be-BY~(double click) open hidden letter,(подвійний клік) відкрити прихований символ,~kk-KZ~(double click) open hidden letter
app_check_word,check word,~fr-FR~check word,проверить слово,~be-BY~check word,перевірка слова,~kk-KZ~check word
app_play_stop_audio,play/stop audio,~fr-FR~play/stop audio,проигрывать/остановить медиафайл,~be-BY~play/stop audio,грати/зупинити медіафайл,~kk-KZ~play/stop audio
app_previous_second_in_audio,previous second in audio,~fr-FR~previous second in audio,предыдущая секунда в медиафайле,~be-BY~previous second in audio,попередня секунда в медіафайлі,~kk-KZ~previous second in audio
app_next_second_in_audio,next second in audio,~fr-FR~next second in audio,следующая секунда в медиафайле,~be-BY~next second in audio,наступна секунда в медіафайлі,~kk-KZ~next second in audio
app_got_it,Got it,~fr-FR~Got it,Понятно,~be-BY~Got it,Зрозумів,~kk-KZ~Got it
app_next_word,go to next word,~fr-FR~go to next word,перейти к следующему слову,~be-BY~go to next word,перейти до наступного слова,~kk-KZ~go to next word
app_previous_word,go to previous word,~fr-FR~go to previous word,перейти к предыдущему слову,~be-BY~go to previous word,перейти до попереднього слова,~kk-KZ~go to previous word
app_info_btn,Info,~fr-FR~Info,Информация,~be-BY~Info,Інформація,~kk-KZ~Info
guessing_results,Guessing results,~fr-FR~Guessing results,Результаты изучения,~be-BY~Guessing results,Результати вивчення,~kk-KZ~Guessing results
letters_result,Letters result,~fr-FR~Letters result,Посимвольные результаты,~be-BY~Letters result,Посимвольні результати,~kk-KZ~Letters result
words_result,Words result,~fr-FR~Words result,Пословные результаты,~be-BY~Words result,Послівні результати,~kk-KZ~Words result
cancel,Cancel,~fr-FR~Cancel,Закрыть,~be-BY~Cancel,Закрити,~kk-KZ~Cancel
go_to_texts,Go to texts,~fr-FR~Go to texts,Перейти к текстам,~be-BY~Go to texts,Перейти до текстів,~kk-KZ~Go to texts
go_to_results,Go to results,~fr-FR~Go to results,Перейти к результатам,~be-BY~Go to results,Перейти до результатів,~kk-KZ~Go to results
manage_text_header,Use to change existing texts,~fr-FR~Use to change existing texts,Использовать для изменения существующих текстов,~be-BY~Use to change existing texts,Використовувати для зміни існуючих текстів,~kk-KZ~Use to change existing texts
title_name,Title,~fr-FR~Title,Название,~be-BY~Title,Назва,~kk-KZ~Title
subtitle_name,Subtitle,~fr-FR~Subtitle,Дополнительное название,~be-BY~Subtitle,Додаткова назка,~kk-KZ~Subtitle
country_name,Country,~fr-FR~Country,Страна,~be-BY~Country,Країна,~kk-KZ~Country
text_name,Text,~fr-FR~Text,Текст,~be-BY~Text,Текст,~kk-KZ~Text
save_name,Save,~fr-FR~Save,Сохранить,~be-BY~Save,Зберегти,~kk-KZ~Save
delete_name,Delete,~fr-FR~Delete,Удалить,~be-BY~Delete,Видалити,~kk-KZ~Delete
text_recognition_site,Text recognition site,~fr-FR~Text recognition site,Сайты для распознавания текстов с картинок,~be-BY~Text recognition site,Сайти для розпізнавання текстів з картинок,~kk-KZ~Text recognition site
delete_confirmation,Delete confirmation,~fr-FR~Delete confirmation,Подтверждение удаления,~be-BY~Delete confirmation,Підтвердження видалення,~kk-KZ~Delete confirmation
confirmation_delete_text_question,Are you sure that this text should be deleted?,~fr-FR~Are you sure that this text should be deleted?,Вы уверены%comma% что хотите удалить?,~be-BY~Are you sure that this text should be deleted?,Ви впевнені%comma% що хочете видалити?,~kk-KZ~Are you sure that this text should be deleted?
yes_,Yes,~fr-FR~Yes,Да,~be-BY~Yes,Так,~kk-KZ~Yes
no_,No,~fr-FR~No,Нет,~be-BY~No,Ні,~kk-KZ~No
hidden,Hidden,~fr-FR~Hidden,Скрытый,~be-BY~Hidden,Прихований,~kk-KZ~Hidden
hinted,Hinted,~fr-FR~Hinted,Подсказанный,~be-BY~Hinted,Підказаний,~kk-KZ~Hinted
guessed,Guessed,~fr-FR~Guessed,Распознанный,~be-BY~Guessed,Розпізнаний,~kk-KZ~Guessed
sign,Sign,~fr-FR~Sign,Знак,~be-BY~Sign,Знак,~kk-KZ~Sign
fully_guessed_words,Fully guessed words,~fr-FR~Fully guessed words,Полностью распознанные слова,~be-BY~Fully guessed words,Повністю розпізнані слова,~kk-KZ~Fully guessed words
fully_hinted_words,Fully hinted words,~fr-FR~Fully hinted words,Полностью подсказанные слова,~be-BY~Fully hinted words,Повністю підказані слова,~kk-KZ~Fully hinted words
partitially_gueesed_words,Partitially gueesed words,~fr-FR~Partitially gueesed words,Частично распознанные слова,~be-BY~Partitially gueesed words,Частково розпізнані слова,~kk-KZ~Partitially gueesed words
check_name,Check,~fr-FR~Check,Проверить,~be-BY~Check,Перевірити,~kk-KZ~Check
check_hint,You are able to use it at any point of transcribing,~fr-FR~You are able to use it at any point of transcribing,Можно использовать многократно и в любое время в процессе изучения,~be-BY~You are able to use it at any point of transcribing,Можна використовувати багато разів і в будь-який час,~kk-KZ~You are able to use it at any point of transcribing
start_over,Start over,~fr-FR~Start over,Начать сначала,~be-BY~Start over,Почати спочатку,~kk-KZ~Start over
confirm_override_results_1,Are you sure want to remove results of guessing of this text,~fr-FR~Are you sure want to remove results of guessing of this text,Вы уверены%comma% что хотите удалить результаты,~be-BY~Are you sure want to remove results of guessing of this text,Ви впевнені%comma% що хочете видалити результати?,~kk-KZ~Are you sure want to remove results of guessing of this text
confirm_override_results_2,and start from scretch,~fr-FR~and start from scretch,и начать сначала?,~be-BY~and start from scretch,і почати спочатку?,~kk-KZ~and start from scretch
new_text_name,New text,~fr-FR~New text,Новый текст,~be-BY~New text,Новий текст,~kk-KZ~New text
backup,Backup,~fr-FR~Backup,Резервная копия,~be-BY~Backup,Резервна копія,~kk-KZ~Backup
search_and_filter,Search & filter,~fr-FR~Search & filter,Поиск и сортировка,~be-BY~Search & filter,Пошук і сортування,~kk-KZ~Search & filter
title_placeholder,Title,~fr-FR~Title,Название,~be-BY~Title,Назва,~kk-KZ~Title
subtitle_placeholder,Subtitle,~fr-FR~Subtitle,Дополнительное название,~be-BY~Subtitle,Додаткова назва,~kk-KZ~Subtitle
search_btn_name,Search,~fr-FR~Search,Искать,~be-BY~Search,Шукати,~kk-KZ~Search
clear_btn_name,Clear,~fr-FR~Clear,Очистить,~be-BY~Clear,Очистити,~kk-KZ~Clear
select_country_title,Select country,~fr-FR~Select country,Выбрать страну,~be-BY~Select country,Вибрати країну,~kk-KZ~Select country
go_to_texts_list,Go to texts list,~fr-FR~Go to texts list,Перейти к списку текстов,~be-BY~Go to texts list,Перейти до списку текстів,~kk-KZ~Go to texts list
welcome,Welcome to a language listening site,~fr-FR~Welcome to a language listening site,Добро пожаловать на сайт тренировки навыка прослушивания иностранных языков,~be-BY~Welcome to a language listening site,Ласкаво просимо на сайт тренування вміння прослуховування і розпізнавання іноземних мов,~kk-KZ~Welcome to a language listening site
hoping,Hope this resource will help you!,~fr-FR~Hope this resource will help you!,Надеюсь%comma% что этот ресурс будет Вам полезен,~be-BY~Hope this resource will help you!,Сподіваюсь%comma% що цей ресурс буде вам корисний,~kk-KZ~Hope this resource will help you!
greeting_word,As we all know%comma% one of the indispensable components of successfully learning and using a foreign language is the ability to understand the interlocutor. Specially for this purpose we have developed this site. If you wish to start%comma% please go to Texts menu tab and choose one of the possible texts.,~fr-FR~As we all know%comma% one of the indispensable components of successfully learning and using a foreign language is the ability to understand the interlocutor. Specially for this purpose we have developed this site. If you wish to start%comma% please go to Texts menu tab and choose one of the possible texts.,Как мы знаем%comma% один из наиболее важных элементов в изучении иностранного языка – возможность понимать речь собеседника в режиме реального времени. Для развития соответствующих навыков и был разработан этот сайт. Для того чтобы начать нажмите вкладку Тексты вверху и сделайте выбор текста из списка возможных.,~be-BY~As we all know%comma% one of the indispensable components of successfully learning and using a foreign language is the ability to understand the interlocutor. Specially for this purpose we have developed this site. If you wish to start%comma% please go to Texts menu tab and choose one of the possible texts.,Як ми знаємо%comma% один з найбільш важливих елементів у вивченні іноземної мови — це можливість розуміти мову співрозмовника в режимі реального часу. Для розвитку відповідних  навичок і був розроблений цей сайт. Для початку натисніть вкладку Тексти зверху і зробіть вибір тексту із списку доступних.,~kk-KZ~As we all know%comma% one of the indispensable components of successfully learning and using a foreign language is the ability to understand the interlocutor. Specially for this purpose we have developed this site. If you wish to start%comma% please go to Texts menu tab and choose one of the possible texts.
video_success_cut,Video has been successfully cut,~fr-FR~Video has been successfully cut,Видео было успешно обрезано,~be-BY~Video has been successfully cut,Відео було успішно обрізано,~kk-KZ~Video has been successfully cut
video_error_from_to_diff,'From' value shouldn`t be more than 'To',~fr-FR~'From' value shouldn`t be more than 'To',Значение “Начало” не должно быть больше за “Конец”,~be-BY~'From' value shouldn`t be more than 'To',Значення «Початок» не повинно бути більшим за «Кінець»,~kk-KZ~'From' value shouldn`t be more than 'To'
video_error_same_value,'From' and 'To' shouldn`t be the same,~fr-FR~'From' and 'To' shouldn`t be the same,Значения “Начало” и “Конец” не должны быть равны,~be-BY~'From' and 'To' shouldn`t be the same,Значення «Початок» і «Кінець» не повинні бути рівними,~kk-KZ~'From' and 'To' shouldn`t be the same
get_video,Get video,~fr-FR~Get video,Получить видео,~be-BY~Get video,Отримати відео,~kk-KZ~Get video
cut_the_video,Cut the video,~fr-FR~Cut the video,Обрезать видео,~be-BY~Cut the video,Вирізати відео,~kk-KZ~Cut the video
video_suggestion,I suggest you cutting video and left not more than 2:30 minutes,~fr-FR~I suggest you cutting video and left not more than 2:30 minutes,Советую использовать видео не длинее 2:30 минут,~be-BY~I suggest you cutting video and left not more than 2:30 minutes,Рекомендую використовувати відео не довше 2:30 хвилин,~kk-KZ~I suggest you cutting video and left not more than 2:30 minutes
video_info_from_to,For setting time markers use the following formate 'mimutes:seconds' (for example: '3:51') (without quotes),~fr-FR~For setting time markers use the following formate 'mimutes:seconds' (for example: '3:51') (without quotes),Испоьзуйте заданый формат “минуты:секунды” для указания времени (без кавычек),~be-BY~For setting time markers use the following formate 'mimutes:seconds' (for example: '3:51') (without quotes),Використовуйте формат «хвилини:секунди» для того%comma% щоб сказати час (без лапок),~kk-KZ~For setting time markers use the following formate 'mimutes:seconds' (for example: '3:51') (without quotes)
from,From,~fr-FR~From,Начало,~be-BY~From,Початок,~kk-KZ~From
to,To,~fr-FR~To,Конец,~be-BY~To,Кінець,~kk-KZ~To
audio,Audio,~fr-FR~Audio,Аудио,~be-BY~Audio,Аудіо,~kk-KZ~Audio
video,Video,~fr-FR~Video,Видео,~be-BY~Video,Відео,~kk-KZ~Video
not_allowed_text,You are not allowed to do this operation,~fr-FR~You are not allowed to do this operation,Нет возможности совершить операцию (недостаточно прав),~be-BY~You are not allowed to do this operation,Нема можливості здійснити операцію (недостатньо прав),~kk-KZ~You are not allowed to do this operation
unable_to_change_password,Unable to change password,~fr-FR~Unable to change password,Нельзя изменить пароль,~be-BY~Unable to change password,Неможна змінити пароль,~kk-KZ~Unable to change password
invalid_user_credentials,Your credentials do not match or account not enabled. Please try again.,~fr-FR~Your credentials do not match or account not enabled. Please try again.,Введённые имя и пароль не соответствуют или пользователь заблокирован. Попробуйте ещё.,~be-BY~Your credentials do not match or account not enabled. Please try again.,Введені ім“я та пароль неправильні або користувач заблокований,~kk-KZ~Your credentials do not match or account not enabled. Please try again.
invalid_login_attempt,Invalid login attempt.,~fr-FR~Invalid login attempt.,Неправильная попытка входа.,~be-BY~Invalid login attempt.,Неправильна спроба входу.,~kk-KZ~Invalid login attempt.
insufficient_sms_credit_error_message,Your SMS credit is not enought to process the request.,~fr-FR~Your SMS credit is not enought to process the request.,~ru-RU~Your SMS credit is not enought to process the request.,~be-BY~Your SMS credit is not enought to process the request.,~uk-UA~Your SMS credit is not enought to process the request.,~kk-KZ~Your SMS credit is not enought to process the request.
audio_or_video_is_necessary,Audio or video file name is necessary.,~fr-FR~Audio or video file name is necessary.,Имя медиафайла обязательно для ввода,~be-BY~Audio or video file name is necessary.,Ім“я медіфайлу обов“язкове для введення,~kk-KZ~Audio or video file name is necessary.
not_allowed_to_use_both_audio_an_video,It is not allowed to use both audio and video file. Please chose one.,~fr-FR~It is not allowed to use both audio and video file. Please chose one.,Нельзя использовать одновременно аудио и видео.,~be-BY~It is not allowed to use both audio and video file. Please chose one.,Неможна одночасно використовувати і аудіо і відео,~kk-KZ~It is not allowed to use both audio and video file. Please chose one.
from_is_not_to,'From' value shouldn't be the same as 'To'.,~fr-FR~'From' value shouldn't be the same as 'To'.,Значения “Начало” и “Конец” должны быть разными,~be-BY~'From' value shouldn't be the same as 'To'.,Значення «Початок» і «Кінець» повинні бути різними,~kk-KZ~'From' value shouldn't be the same as 'To'.
max_duration_exceeds,Video shouldn`t be too long. Max value is 2:30 minutes.,~fr-FR~Video shouldn`t be too long. Max value is 2:30 minutes.,Видео не должно быть слишком длинным. Максимальное значение 2:30 минут,~be-BY~Video shouldn`t be too long. Max value is 2:30 minutes.,Відео не повинно бути занадто довгим. Максимальний розмір 2:30 хвилин,~kk-KZ~Video shouldn`t be too long. Max value is 2:30 minutes.
please_log_in,Please log in,~fr-FR~Please log in,Пожалуйста%comma% войдите,~be-BY~Please log in,Будь-ласка%comma% ввійдіть,~kk-KZ~Please log in
unauthorized,Unauthorized,~fr-FR~Unauthorized,Неавторизированный пользователь,~be-BY~Unauthorized,Неавторизований користувач,~kk-KZ~Unauthorized
server_error,Server error,~fr-FR~Server error,Ошибка сервера,~be-BY~Server error,Помилка серверу,~kk-KZ~Server error
contact_admin,Please contact admin,~fr-FR~Please contact admin,Обратитесь к администратору,~be-BY~Please contact admin,Зверніться до адміністратору,~kk-KZ~Please contact admin
internal_error,Internal server error,~fr-FR~Internal server error,Внутреняя ошибка сервера,~be-BY~Internal server error,Внутрішня помилка серверу,~kk-KZ~Internal server error
login_passwd_incorrect,The username/password couple is invalid.,~fr-FR~The username/password couple is invalid.,Пара значений имя пользователя и пароль неправильные.,~be-BY~The username/password couple is invalid.,Пара значень ім“я користувача і пароль неправильні,~kk-KZ~The username/password couple is invalid.
text_preview,Text preview,~fr-FR~Text preview,Просмотр текста,~be-BY~Text preview,Перегляд тексту,~kk-KZ~Text preview
refresh,Refresh,~fr-FR~Refresh,Обновить,~be-BY~Refresh,Оновити,~kk-KZ~Refresh
list_of_ocr,List of external OCR:,~fr-FR~List of external OCR:,Список внешних сайтов по распознаванию текстов (с картинок):,~be-BY~List of external OCR:,Список зовнішніх сайтів з розпізнавання текстів (з картинок): ,~kk-KZ~List of OCR:
go_to_new_tab,Go to site in new window tab,~fr-FR~Go to site in new window tab,Перейти на сайт в новой вкладке,~be-BY~Go to site in new window tab,Перейти на сайт в новій вкладці ,~kk-KZ~Go to site in new window tab
show_letters,Show letters,~fr-FR~Show letters,Показать скрытые символы,~be-BY~Show letters,Показати приховані символи ,~kk-KZ~Show letters
captcha_too_long,Captcha is too long,~fr-FR~Captcha is too long,Значение для CAPTCHA слишком длинное,~be-BY~Captcha is too long,Значення для CAPTCHA задовге ,~kk-KZ~Captcha is too long
captcha_is_not_filled,Captcha has not been filled,~fr-FR~Captcha has not been filled,CAPTCHA не установлена,~be-BY~Captcha has not been filled,CAPTCHA не встановлена ,~kk-KZ~Captcha has not been filled
wrong_captcha_value,Incorrect captcha value,~fr-FR~Incorrect captcha value,Неправильное значение CAPTCHA,~be-BY~Incorrect captcha value,Неправильне значення CAPTCHA ,~kk-KZ~Incorrect captcha value
wrong_captcha_length,Incorrect captcha symbols count,~fr-FR~Incorrect captcha symbols count,Неправильное количество символов в CAPTCHA,~be-BY~Incorrect captcha symbols count,Неправильне кількість символів в CAPTCHA ,~kk-KZ~Incorrect captcha symbols count
app_captcha,Captcha,~fr-FR~Captcha,CAPTCHA,~be-BY~Captcha,Captcha,~kk-KZ~Captcha
chat_user_list,Users list,~fr-FR~Users list,Список пользователей,~be-BY~Users list,Список користувачів,~kk-KZ~Users list
person_search_plchldr,Enter person’s name,~fr-FR~Enter person’s name,Введите имя пользователя,~be-BY~Enter person’s name,Введіть ім'я користувача ,~kk-KZ~Enter person’s name
search_chat_usr_btn,Search,~fr-FR~Search,Поиск,~be-BY~Search,Пошук,~kk-KZ~Search
active_chat_users,Active,~fr-FR~Active,Активные,~be-BY~Active,Активні,~kk-KZ~Active
inactive_chat_users,Inactive,~fr-FR~Inactive,Неактивные,~be-BY~Inactive,Неактивні,~kk-KZ~Inactive
conversation_with,Conversation with,~fr-FR~Conversation with,Разговор с,~be-BY~Conversation with,Розмова з ,~kk-KZ~Conversation with 
get_more_messages_btn,Get more messages,~fr-FR~Get more messages,Получить предыдущие сообщения,~be-BY~Get more messages,Отримати попередні повідомлення ,~kk-KZ~Get more messages 
messages_table_header,Messages,~fr-FR~Messages,Сообщения,~be-BY~Messages,Повідомлення ,~kk-KZ~Messages 
time_table_header,Time,~fr-FR~Time,Время,~be-BY~Time,Час,~kk-KZ~Time
your_message_plchldr,your message…,~fr-FR~your message…,ваше сообщение…,~be-BY~your message…,ваше повідомлення…,~kk-KZ~your message…
send_message_btn,Send message,~fr-FR~Send message,Отправить сообщение,~be-BY~Send message,Надіслати повідомлення ,~kk-KZ~Send message
video_conversation,Video conversation,~fr-FR~Video conversation,Видеоразговор,~be-BY~Video conversation,Відеорозмова,~kk-KZ~Video conversation 
no_messages,No messages,~fr-FR~No messages,Нет сообщений,~be-BY~No messages,Немає повідомлень,~kk-KZ~No messages 
select_necessary_settings,Select necessary setting,~fr-FR~Select necessary setting,Выберите нужные параметры,~be-BY~Select necessary setting,Виберіть потрібне налаштування,~kk-KZ~Select necessary setting
include_video,Include video,~fr-FR~Include video,Включить видео,~be-BY~Include video,Включити відео,~kk-KZ~Include video 
include_audio,Include audio,~fr-FR~Include audio,Включить аудио,~be-BY~Include audio,Включити аудіо,~kk-KZ~Include audio 
start_myself_stream,Start stream with me,~fr-FR~Start stream with me,Начать показ своего потока,~be-BY~Start stream with me,Почати показ свого потоку,~kk-KZ~Start stream with me
incorrect_email,Incorrect email,~fr-FR~Incorrect email,Неправильная электронная почта,~be-BY~Incorrect email,Неправильна електронна пошта,~kk-KZ~Incorrect email 
digit,digit,~fr-FR~digit,цифра,~be-BY~digit,цифра,~kk-KZ~digit 
big_letter,big letter,~fr-FR~big letter,большая буква,~be-BY~big letter,велика літера,~kk-KZ~big letter 
little_letter,little letter,~fr-FR~little letter,маленькая буква,~be-BY~little letter,маленька літера,~kk-KZ~little letter 
special_character,special character,~fr-FR~special character,специальный символ,~be-BY~special character,спеціальний символ,~kk-KZ~special character 
passwords_not_the_same,Passwords are not the same,~fr-FR~Passwords are not the same,Пароли не соответствуют,~be-BY~Passwords are not the same,Паролі не збігаються,~kk-KZ~Passwords are not the same 
password_should_be,Password should be al least,~fr-FR~Password should be al least,Пароль должен быть как минимум,~be-BY~Password should be al least,Пароль має бути як мінімум,~kk-KZ~Password should be al least 
password_symbols,symbols,~fr-FR~symbols,символов,~be-BY~symbols,символів,~kk-KZ~symbols
password_should_contain,Password should contain at least one,~fr-FR~Password should contain at least one,Пароль должен содержать,~be-BY~Password should contain at least one,Пароль повинен містити принаймні один,~kk-KZ~Password should contain at least one
save_backup,Save backup,~fr-FR~Save backup,Создать резервную копию,~be-BY~Save backup,Зберегти резервну копію,~kk-KZ~Save backup
restore_backup,Restore backup,~fr-FR~Restore backup,Восстановить с резервной копии,~be-BY~Restore backup,Відновлення резервної копії,~kk-KZ~Restore backup
control,Control,~fr-FR~Control,Управление,~be-BY~Control,Керування,~kk-KZ~Control
you_name,you,~fr-FR~you,ты,~be-BY~you,ти,~kk-KZ~you
assignee,Assignee,~fr-FR~Assignee,Ответственный,~be-BY~Assignee,Відповідальний,~kk-KZ~Assignee
no_admin_selected,No admin selected,~fr-FR~No admin selected,Не выбрано администратора,~be-BY~No admin selected,Не вибрано жодного адміністратора,~kk-KZ~No admin selected
upload_file,Upload file,~fr-FR~Upload file,Загрузить файл,~be-BY~Upload file,Завантажити файл,~kk-KZ~Upload file
incorrect_format,Incorrect format. Please follow formate upper.,~fr-FR~Incorrect format. Please follow formate upper.,Неправильный ормат. Следуйте формату выше,~be-BY~Incorrect format. Please follow formate upper.,Неправильний формат. Слідкуйте за форматом вказаним зверху.,~kk-KZ~Incorrect format. Please follow formate upper.
no_empty,Can`t be empty,~fr-FR~Can`t be empty,Не может быть пустым,~be-BY~Can`t be empty,Не може бути порожнім,~kk-KZ~Can`t be empty
value_not_null,Value can`t be bigger than duration of file.,~fr-FR~Value can`t be bigger than duration of file.,Значение не может быть больше всей длины файла,~be-BY~Value can`t be bigger than duration of file.,Значення не може бути більше тривалості файлу.,~kk-KZ~Value can`t be bigger than duration of file.
filter_all_columns,Filter all columns,~fr-FR~Filter all columns,Фильтр по всем колонкам,~be-BY~Filter all columns,Фільтрувати за всіма стовпцями,~kk-KZ~Filter all columns
no_results_yet,No results yet,~fr-FR~No results yet,Пока нет результатов.,~be-BY~No results yet,Результатів ще немає,~kk-KZ~No results yet
page,Page,~fr-FR~Page,Страница,~be-BY~Page,Сторінка,~kk-KZ~Page
unsupportable_text_length,System does not support texts more than,~fr-FR~System does not support texts more than,Система не поддерживает больше чем,~be-BY~System does not support texts more than,Система не підтримує тексти більше ніж,~kk-KZ~System does not support texts more than
text_name_not_empty,Text shouldn`t be empty,~fr-FR~Text shouldn`t be empty,Текст не должен быть пустым,~be-BY~Text shouldn`t be empty,Текст не повинен бути порожнім,~kk-KZ~Text shouldn`t be empty
