ContentKey,en-US,fr-FR,ru-RU,be-BY,uk-UA,kk-KZ
unsupportable_text_length_4000,System does not support texts more than 4000 symbols,~fr-FR~System does not support texts more than 4000 symbols,Система не поддерживает больше чем 4000 символов,~be-BY~System does not support texts more than 4000 symbols,Система не підтримує тексти більше 4000 символів,~kk-KZ~System does not support texts more than 4000 symbols
title_not_empty,Title shouldn`t be empty,~fr-FR~Title shouldn`t be empty,Название текста не должно быть пустым,~be-BY~Title shouldn`t be empty,Заголовок не повинен бути порожнім,~kk-KZ~Title shouldn`t be empty
audio_should_fill,Audio name should be filled,~fr-FR~Audio name should be filled,Название аудио файла не должно быть пустым,~be-BY~Audio name should be filled,Назва аудіо повинна бути заповнена,~kk-KZ~Audio name should be filled
video_should_fill,Video name should be filled,~fr-FR~Video name should be filled,Название видео файла не должно быть пустым,~be-BY~Video name should be filled,Назва відео повинна бути заповнена,~kk-KZ~Video name should be filled
scs_aud_sav,Successfully saved audio,~fr-FR~Successfully saved audio,Аудио файл успешно сохранён,~be-BY~Successfully saved audio,Звук успішно збережено,~kk-KZ~Successfully saved audio
scs_vid_sav,Successfully saved video,~fr-FR~Successfully saved video,Видео файл успешно сохранён,~be-BY~Successfully saved video,Відео успішно збережено,~kk-KZ~Successfully saved video
scs_del,Successfully deleted,~fr-FR~Successfully deleted,Удаление прошло успешно,~be-BY~Successfully deleted,Успішно видалено,~kk-KZ~Successfully deleted
scs_add_txt,Successfully added new text,~fr-FR~Successfully added new text,Новый текст успешно добавлен,~be-BY~Successfully added new text,Новий текст успішно додано,~kk-KZ~Successfully added new text
scs_add_crswd,Successfully added new crossword,~fr-FR~Successfully added new crossword,Новый кроссворд успешно добавлен,~be-BY~Successfully added new crossword,Новий кросворд успішно додано,~kk-KZ~Successfully added new crossword
scs_upd_txt,Successfully updated text,~fr-FR~Successfully updated text,Текст успешно изменён,~be-BY~Successfully updated text,Текст успішно оновлено,~kk-KZ~Successfully updated text
txts_upd,Text has been already modified. Please refresh page to get latest data or save new instance,~fr-FR~Text has been already modified. Please refresh page to get latest data or save new instance,Текст уже изменён,~be-BY~Text has been already modified. Please refresh page to get latest data or save new instance,Текст уже змінено. Оновіть сторінку%comma% щоб отримати останні дані або зберегти новий екземпляр,~kk-KZ~Text has been already modified. Please refresh page to get latest data or save new instance
app_nav_feedbacks,Feedbacks,~fr-FR~Feedbacks,Обратная связь,~be-BY~Feedbacks,Відгуки,~kk-KZ~Feedbacks
feedback_entry_word,Please write feedback to improve service,~fr-FR~Please write feedback to improve service,Оставьте%comma% пожалуйста%comma% отзыв для улучшения качества работы сайта. Конструктивная критика приветствуется.,~be-BY~Please write feedback to improve service,Напишіть відгук%comma% щоб покращити службу,~kk-KZ~Please write feedback to improve service
feedback_topic,Topic,~fr-FR~Topic,Тематика,~be-BY~Topic,Тема,~kk-KZ~Topic
is_visible,Visible for everyone,~fr-FR~Visible for everyone,Отзыв будет виден всем,~be-BY~Visible for everyone,Видимий для всіх,~kk-KZ~Visible for everyone
send_feedback,Send feedback,~fr-FR~Send feedback,Отправить отзыв,~be-BY~Send feedback,Надіслати відгук,~kk-KZ~Send feedback
or_trnsl,or,~fr-FR~or,или,~be-BY~or,або,~kk-KZ~or
success_restore,Texts has been successfully restored from backup,~fr-FR~Texts has been successfully restored from backup,Тексты успешно восстановлены с резервной копии,~be-BY~Texts has been successfully restored from backup,Тексти успішно відновлені з резервної копії,~kk-KZ~Texts has been successfully restored from backup
do_refresh_captcha,Please refresh captcha,~fr-FR~Please refresh captcha,Пожалуйста%comma% обновите капчу,~be-BY~Please refresh captcha,Будь-ласка%comma% оновіть капчу,~kk-KZ~Please refresh captcha
refresh_captcha,Refresh captcha,~fr-FR~Refresh captcha,Обновить капчу,~be-BY~Refresh captcha,Оновити капчу,~kk-KZ~Refresh captcha
app_nav_need_help,Help,~fr-FR~Help,Помощь,~be-BY~Help,Допомога,~kk-KZ~Help
copied_to_buffer,Successfully copied to buffer,~fr-FR~Successfully copied to buffer,Скопировано в буфер обмена,~be-BY~Successfully copied to buffer,Успішна копія в буфер обміну,~kk-KZ~Successfully copied to buffer
copy_to_clipboard_btn,Copy to clipboard,~fr-FR~Copy to clipboard,Копировать в буфер обмена,~be-BY~Copy to clipboard,Копіювати в буфер обміну,~kk-KZ~Copy to clipboard
push_to_text_btn,Push to Text,~fr-FR~Push to Text,Перенести в Текст,~be-BY~Push to Text,Перенести в текст,~kk-KZ~Push to Text
recognize_btn,Recognize,~fr-FR~Recognize,Распознать,~be-BY~Recognize,Розпізнати,~kk-KZ~Recognize
started_from_scretch,You have started this text from scretch ,~fr-FR~You have started this text from scretch ,Вы начали работать с этим текстом с нуля,~be-BY~You have started this text from scretch ,Ви почали працювати над текстом з нуля,~kk-KZ~You have started this text from scretch 
own_ocr,Use own optical recognition tool,~fr-FR~Use own optical recognition tool,Использовать существующий инструмент распознавания текста,~be-BY~Use own optical recognition tool,Використати існуючий інструмент розпізнавання тексту,~kk-KZ~Use own optical recognition tool
accept_terms,I accept,~fr-FR~I accept,Я принимаю,~be-BY~I accept,Я приймаю,~kk-KZ~I accept
terms_of_use,terms of use,~fr-FR~terms of use,условия использования,~be-BY~terms of use,правила використання,~kk-KZ~terms of use
captcha_expired,Captcha is already expired,~fr-FR~Successfully copied to buffer,Время использования сaptcha истекло,~be-BY~Successfully copied to buffer,Час вичерпано для значення сaptcha,~kk-KZ~Successfully copied to buffer
only_one_audio,Don`t use more than one audio ,~fr-FR~Don`t use more than one audio ,Не используйте больше одного аудио файла,~be-BY~Don`t use more than one audio ,Не використовуйте більше одного аудіо файлу,~kk-KZ~Don`t use more than one audio 
to_many_files,To many files ,~fr-FR~To many files ,Слишком много файлов,~be-BY~To many files ,Занадто багато файлів,~kk-KZ~To many files 
rtc_general_error,Real-time communication error,~fr-FR~Real-time communication error,Ошибка взаимодействия реального времени,~be-BY~Real-time communication error,Помилка взаємодії технології реального часу,~kk-KZ~Real-time communication error
connected_users,Connected users ,~fr-FR~Connected users ,Подключённые пользователи,~be-BY~Connected users ,Підключені користувачі,~kk-KZ~Connected users 
caller_video,Caller video,~fr-FR~Caller video,Видео звонящего,~be-BY~Caller video,Відео того хто дзвонить,~kk-KZ~Caller video
my_video,My video,~fr-FR~My video,Моё видео,~be-BY~My video,Моє відео,~kk-KZ~My video
call_offer,Outgoing call,~fr-FR~Outgoing call,Исходящий звонок,~be-BY~Outgoing call,Вихідний дзвінок,~kk-KZ~Outgoing call
offer_call_msg,You are calling to user,~fr-FR~You are calling to user,Вы звоните пользователю,~be-BY~You are calling to user,Ви дзвоните користувачу,~kk-KZ~You are calling to user
cancel_call_offer,Cancel call,~fr-FR~Cancel call,Прекратить звонок,~be-BY~Cancel call,Припинити дзвінок,~kk-KZ~Cancel call
call_confirmation,Incoming call,~fr-FR~Incoming call,Входящий вызов,~be-BY~Incoming call,Вхідний виклик,~kk-KZ~Incoming call
confirm_call_msg,is calling you,~fr-FR~is calling you,звонит Вам,~be-BY~is calling you,дзвонить Вам,~kk-KZ~is calling you
hang_up,Hang up,~fr-FR~Hang up,Положить трубку,~be-BY~Hang up,Покласти трубку,~kk-KZ~Hang up
terms_detailed,If you are worried about your personal information%comma% please don't type it :) I'm not going to sell it%comma% or spread to other people%comma% however it's enough hard to create totally secured application (with 100-percentage sure). If you set checkbox as true%comma% you allow me work with this data.,~fr-FR~If you are worried about your personal information%comma% please don't type it :) I'm not going to sell it%comma% or spread to other people%comma% however it's enough hard to create totally secured application (with 100-percentage sure). If you set checkbox as true%comma% you allow me work with this data.,Любую персональную информацию Вы вводите на свой страх и риск :) Я не ручаюсь за её сохранность. Я не планирую её продавать третим лицам%comma% но от хакеров не застрахован никто. Ставя галочку Вы разрешаете обработку введённых данных. Поэтому Вы можете использовать любое название для email. На данный момент работа с почтой не реализована.,~be-BY~If you are worried about your personal information%comma% please don't type it :) I'm not going to sell it%comma% or spread to other people%comma% however it's enough hard to create totally secured application (with 100-percentage sure). If you set checkbox as true%comma% you allow me work with this data.,Будь-яку персональну інформацію Ви вводите на свій страх і ризик :) Я не гарантую її конфіденційність і цілісність. Я не планую її продавати третім особам%comma% але від хакерів не застрахований ніхто. Встановлюючи галочку Ви дозволяєте обробку введених даних. Тому Ви можете використовувати будь-яку назву для email. На даний момент робота з поштою не реалізована. ,~kk-KZ~If you are worried about your personal information%comma% please don't type it :) I'm not going to sell it%comma% or spread to other people%comma% however it's enough hard to create totally secured application (with 100-percentage sure). If you set checkbox as true%comma% you allow me work with this data.
help_detailed,This project is not going to be a commerial%comma% therefore you wouldn't see advertisement. Anyway%comma% I'm able to suggest important information for self-development (from my point of view). Basically%comma% this information will be in special tab%comma% so it woouldn't be distractive. If you have any offers%comma% how to improve quality of service%comma% please leave your feedback. Constructive criticism could be helpful. If you have a computer%comma% which you don't need and you could give it or sell it cheap%comma% please write me. I'll consider any offer. ,~fr-FR~This project is not going to be a commerial%comma% therefore you wouldn't see advertisement. Anyway%comma% I'm able to suggest important information for self-development (from my point of view). Basically%comma% this information will be in special tab%comma% so it woouldn't be distractive. If you have any offers%comma% how to improve quality of service%comma% please leave your feedback. Constructive criticism could be helpful. If you have a computer%comma% which you don't need and you could give it or sell it cheap%comma% please write me. I'll consider any offer. ,Этот проект не предполагает коммерческой выгоды%comma% а предоставлен на доброволной основе для помощи людям в освоении новых знаний%comma% поэтому данный сайт не содержит рекламы.  Тем не менее%comma% я оставляю за собой право рекомендовать то%comma% что считаю нужным и важным для развития (это является моим субъективным мнением и не претендует на истину в последней инстанции). Эта информация будет в отдельной вкладке и также не будет всплывать и отвлекать пользователя от основного занятия.  Замечания и предложения пишите в отзывах. Если у кого-то есть желание помочь проекту и сделать лучше - буду рад конструктивной критике и помощи. Если у кого-то есть вычислительные устройства типа компьютер%comma% с которым люди могут расстаться безвоздмездно (тоесть даром) либо за символическую плату. Рассмотрю все предоложения :) (Возможно%comma% чей-то морально устаревший компьютер поможет в развитии проекта (: ),~be-BY~This project is not going to be a commerial%comma% therefore you wouldn't see advertisement. Anyway%comma% I'm able to suggest important information for self-development (from my point of view). Basically%comma% this information will be in special tab%comma% so it woouldn't be distractive. If you have any offers%comma% how to improve quality of service%comma% please leave your feedback. Constructive criticism could be helpful. If you have a computer%comma% which you don't need and you could give it or sell it cheap%comma% please write me. I'll consider any offer. ,Цей проект не передбачає комерційної вигоди%comma% а наданий на доброволно основі для допомоги людям в освоєнні нових знань%comma% а тому цей сайт не містить реклами. Проте%comma% я залишаю за собою право рекомендувати те%comma% що вважаю за потрібне і важливим для розвитку (це%comma% звісно%comma% моя суб'єктивна думка і я не претендую на істину в останній інстанції). Дана інформація буде в окремій вкладці і також не буде вспливати і відволікати користувача від основного заняття. Зауваження та пропозиції пишіть у відгуках. Якщо у когось є бажання допомогти проекту і зробити його краще - буду радий конструктивній критиці і допомозі. Якщо у когось є старий комп'ютер%comma% який люди можуть подарувати чи продати за символічну плату - буду радий підтримці. Розгляну будь-які варіанти :) (Можливо%comma% чийсь морально застарілий комп'ютер допоможе в розвитку проекту (:  ),~kk-KZ~This project is not going to be a commerial%comma% therefore you wouldn't see advertisement. Anyway%comma% I'm able to suggest important information for self-development (from my point of view). Basically%comma% this information will be in special tab%comma% so it woouldn't be distractive. If you have any offers%comma% how to improve quality of service%comma% please leave your feedback. Constructive criticism could be helpful. If you have a computer%comma% which you don't need and you could give it or sell it cheap%comma% please write me. I'll consider any offer. 
media_processing,Media processing,~fr-FR~Media processing,Обработка потока,~be-BY~Media processing,Обробка потоку,~kk-KZ~Media processing
help_translator,If somebody could help me with translations to the other languages%comma% please write me. I'd be appreciated with any help.,~fr-FR~If somebody could help me with translations to the other languages%comma% please write me. I'd be appreciated with any help.,Если кто-то может помочь с переводом сайта на другие языки - пишите мне. Буду рад любой помощи.,~be-BY~If somebody could help me with translations to the other languages%comma% please write me. I'd be appreciated with any help.,Якщо хтось може допомогти з перекладом сайту на інші мови - пишіть мені. Буду радий будь-якій допомозі.,~kk-KZ~If somebody could help me with translations to the other languages%comma% please write me. I'd be appreciated with any help.
intro_lang_description,Change interface language,~fr-FR~Video tutorial about change interface language,Видео об изменении языка интерфейса,~be-BY~Video tutorial about change interface language,Відео про зміну мови інтерфейсу сайту,~kk-KZ~Video tutorial about change interface language
intro_search_and_filter_description,Filtering and searching text by different criterias,~fr-FR~Video tutorial about filtering and searching text by different criterias,Видео о поиске и сортировке текстов по заданным параметрам,~be-BY~Video tutorial about filtering and searching text by different criterias,Відео про пошук та сортування текстів за заданими параметрами,~kk-KZ~Video tutorial about filtering and searching text by different criterias
intro_joined_description,Listening and transcribing texts using joined mode,~fr-FR~Video tutorial about listening and transcribing texts using joined mode,Видео о работе с текстом в объединённом режиме ,~be-BY~Video tutorial about listening and transcribing texts using joined mode,Відео про роботу з текстом в об'єднаному режимі,~kk-KZ~Video tutorial about listening and transcribing texts using joined mode
intro_separated_description,Listening and transcribing texts using separated mode,~fr-FR~Video tutorial about listening and transcribing texts using separated mode,Видео о работе с текстом в разделённом режиме,~be-BY~Video tutorial about listening and transcribing texts using separated mode,Відео про роботу з текстом в роздыленому режимі,~kk-KZ~Video tutorial about listening and transcribing texts using separated mode
intro_save_new_text_audio_description,Save new text with audio file,~fr-FR~Video tutorial about save new text with audio file,Видео о сохранении нового текста с аудио файлом,~be-BY~Video tutorial about save new text with audio file,Відео про збереження нового тексту з аудіофайлом,~kk-KZ~Video tutorial about save new text with audio file
usr_profile,User profile,~fr-FR~User profile,Профиль пользователя,~be-BY~User profile,Профіль користувача,~kk-KZ~User profile
usr_info,User info ,~fr-FR~User info ,Информация о пользователе,~be-BY~User info ,Інформація про користувача,~kk-KZ~User info 
upd_passwd,Update password ,~fr-FR~Update password ,Обновить пароль,~be-BY~Update password ,Оновити пароль,~kk-KZ~Update password 
usr_photo,User photo ,~fr-FR~User photo ,Фотография пользователя,~be-BY~User photo ,Фото користувача,~kk-KZ~User photo 
othr_accs,Other accounts ,~fr-FR~Other accounts ,Другие аккаунты,~be-BY~Other accounts ,Інші аккаунти,~kk-KZ~Other accounts 
current_passwd,Current password ,~fr-FR~Current password ,Текущий пароль,~be-BY~Current password ,Поточний пароль,~kk-KZ~Current password 
new_passwd,New password ,~fr-FR~New password ,Новый пароль,~be-BY~New password ,Новий пароль,~kk-KZ~New password 
verify_passwd,Verify password ,~fr-FR~Verify password ,Подтвердите пароль,~be-BY~Verify password ,Підтвердіть пароль,~kk-KZ~Verify password 
record_stream,Record stream,~fr-FR~Record stream,Запись потока,~be-BY~Record stream,Запис потоку,~kk-KZ~Record stream
screen,Screen,~fr-FR~Screen,Экран,~be-BY~Screen,Екран,~kk-KZ~Screen
max_video_length,Max record length (seconds),~fr-FR~Max record length (seconds),Максимальная длина записи (секунды),~be-BY~Max record length (seconds),Максимальна довжина запису (секунди),~kk-KZ~Max record length (seconds)
app_apply,Apply,~fr-FR~Apply,Применить,~be-BY~Apply,Застосувати,~kk-KZ~Apply
app_complexity,Complexity,~fr-FR~Complexity,Сложность,~be-BY~Complexity,Складність,~kk-KZ~Complexity
app_easy,Easy,~fr-FR~Easy,Просто,~be-BY~Easy,Просто,~kk-KZ~Easy
app_hard,Hard,~fr-FR~Hard,Сложно,~be-BY~Hard,Складно,~kk-KZ~Hard
audio_or_video_restriction,You have to select audio or video for correct work with text,~fr-FR~You have to select audio or video for correct work with text,Вы должны выбрать аудио или видео для правильной работы с текстом,~be-BY~You have to select audio or video for correct work with text,Ви повинні вибрати аудіо або відео для правильної роботи з текстом,~kk-KZ~You have to select audio or video for correct work with text
app_topic,Topic,~fr-FR~Topic,Тематика,~be-BY~Topic,Тематика,~kk-KZ~Topic
sort_not_avail,This sorting name ({0}) is not available,~fr-FR~This sorting name ({0}) is not available,Невозможно сортировать по данным критериям: {0},~be-BY~This sorting name ({0}) is not available,Неможливо сортувати за даними критерыями: {0},~kk-KZ~This sorting name ({0}) is not available
search_not_avail,These fields are not available for searching: {0},~fr-FR~These fields are not available for searching: {0},Эти поля нельзя использовать для поиска: {0},~be-BY~These fields are not available for searching: {0},Ці поля не можна використовувати для пошуку: {0},~kk-KZ~These fields are not available for searching: {0}
incld_assgn,Include assignee,~fr-FR~Include assignee,Добавить ответственного,~be-BY~Include assignee,Додати відповідального,~kk-KZ~Include assignee
incld_crt,Include create time,~fr-FR~Include create time,Добавить время создания,~be-BY~Include create time,Додати час створення,~kk-KZ~Include create time
incld_upd,Include update time,~fr-FR~Include update time,Добавить время изменения,~be-BY~Include update time,Додати час модифікації,~kk-KZ~Include update time
registr_confirm,Registration confirmation,~fr-FR~Registration confirmation,Подвтерждение регистрации,~be-BY~Registration confirmation,Підтвердження реєстрації,~kk-KZ~Registration confirmation
thnk_for_registry,Thank you for registration your email%comma% please,~fr-FR~Thank you for registration your email%comma% please,Благодарю за регистрацию. Для входа нажмите,~be-BY~Thank you for registration your email%comma% please,Дякую за реєстрацію. Для входу натисніть,~kk-KZ~Thank you for registration your email%comma% please
no_data,No data by this filter. ,~fr-FR~No data by this filter. ,Нет данных по заданным критериям,~be-BY~No data by this filter. ,Нема даних за заданими параметрами,~kk-KZ~No data by this filter. 
app_created,Created date,~fr-FR~Created date,Дата создания,~be-BY~Created date,Дата створення,~kk-KZ~Created date
app_updated,Updated date,~fr-FR~Updated date,Дата изменения,~be-BY~Updated date,Дата модифікації,~kk-KZ~Updated date
less_date,Date is less than selected,~fr-FR~Date is less than selected,Дата меньше выбранной,~be-BY~Date is less than selected,Дата меньше вибраної,~kk-KZ~Date is less than selected
more_date,Date is more than selected,~fr-FR~Date is more than selected,Дата больше выбранной,~be-BY~Date is more than selected,Дата більше вибраної,~kk-KZ~Date is more than selected
equal_date,Date is equal to selected,~fr-FR~Date is equal to selected,Дата соответствует выбранной,~be-BY~Date is equal to selected,Дата відповідає вибраній,~kk-KZ~Date is equal to selected
select_date,Select date,~fr-FR~Select date,Выберите дату,~be-BY~Select date,Виберіть дату,~kk-KZ~Select date
app_nav_additional_tools,Additional tools,~fr-FR~Additional tools,Дополнительные инструменты,~be-BY~Additional tools,Додаткові інструменти,~kk-KZ~Additional tools
app_nav_main,Main,~fr-FR~Main,Главная,~be-BY~Main,Головна,~kk-KZ~Main
app_nav_online_camera,Online camera,~fr-FR~Online camera,Онлайн камера,~be-BY~Online camera,Онлайн камера,~kk-KZ~Online camera
check_camera,Check camera online,~fr-FR~Check camera online,Проверка камеры онлайн,~be-BY~Check camera online,Перевірка камери онлайн,~kk-KZ~Check camera online
record_detailed,Record camera%comma% audio%comma% screen,~fr-FR~Record camera%comma% audio%comma% screen,Запись камеры%comma% аудио%comma% экрана,~be-BY~Record camera%comma% audio%comma% screen,Запис камери%comma% аудіо%comma% екрану,~kk-KZ~Record camera%comma% audio%comma% screen
interesting,Interesting,~fr-FR~Interesting,Интересное,~be-BY~Interesting,Цікаве,~kk-KZ~Interesting
mode_name,Mode,~fr-FR~Mode,Режим,~be-BY~Mode,Режим,~kk-KZ~Mode
duration_name,Duration,~fr-FR~Duration,Продолжительность,~be-BY~Duration,Час виконання,~kk-KZ~Duration
guessed_symbols_name,Guessed symbols ,~fr-FR~Guessed symbols ,Правильно определённые символы,~be-BY~Guessed symbols ,Правильно визначені символи,~kk-KZ~Guessed symbols 
hinted_symbols_name,Hinted symbols ,~fr-FR~Hinted symbols ,Подсказанные символы,~be-BY~Hinted symbols ,Вгадані символи,~kk-KZ~Hinted symbols 
errors_count,Errors count ,~fr-FR~Errors count ,Количество ошибок,~be-BY~Errors count ,Кількість помилок,~kk-KZ~Errors count 
filter_by_title,Filter by title,~fr-FR~Filter by title,Фильтровать по названию,~be-BY~Filter by title,Фільтрувати за назвою,~kk-KZ~Filter by title
knowledge,Knowledge,~fr-FR~Knowledge,Знания,~be-BY~Knowledge,Знання,~kk-KZ~Knowledge
specific_info,Specific,~fr-FR~Specific,Специальная информация,~be-BY~Specific,Спеціальна інформація,~kk-KZ~Specific
shir_intro,Введение. История развития соломенных технологий. Энергоинформатика.,~fr-FR~Введение. История развития соломенных технологий. Энергоинформатика.,Введение. История развития соломенных технологий. Энергоинформатика.,~be-BY~Введение. История развития соломенных технологий. Энергоинформатика.,Вступ. Історія розвитку солом“яних технологій.Енергоінформатика.,~kk-KZ~Введение. История развития соломенных технологий. Энергоинформатика.
shir_pechi,Конструктив экодомов. Печи. Золотое сечение. Часть 1,~fr-FR~Конструктив экодомов. Печи. Золотое сечение. Часть 1,Конструктив экодомов. Печи. Золотое сечение. Часть 1,~be-BY~Конструктив экодомов. Печи. Золотое сечение. Часть 1,Конструктив экобудинків. Печі. Золотий переріз. Частина 1,~kk-KZ~Конструктив экодомов. Печи. Золотое сечение. Часть 1
shir_pechi2,Конструктив экодомов. Печи. Золотое сечение. Часть 2,~fr-FR~Конструктив экодомов. Печи. Золотое сечение. Часть 2,Конструктив экодомов. Печи. Золотое сечение. Часть 2,~be-BY~Конструктив экодомов. Печи. Золотое сечение. Часть 2,Конструктив экобудинків. Печі. Золотий переріз. Часть 2,~kk-KZ~Конструктив экодомов. Печи. Золотое сечение. Часть 2
shir_ecodesign,Экодизайн. Примеры проектов экодомов.,~fr-FR~Экодизайн. Примеры проектов экодомов.,Экодизайн. Примеры проектов экодомов.,~be-BY~Экодизайн. Примеры проектов экодомов.,Екодизайн. Приклади проектів екобудинків.,~kk-KZ~Экодизайн. Примеры проектов экодомов.
shir_nuances,Проекты. Нюансы строительства.,~fr-FR~Проекты. Нюансы строительства.,Проекты. Нюансы строительства.,~be-BY~Проекты. Нюансы строительства.,Проекти. Нюанси будівництва.,~kk-KZ~Проекты. Нюансы строительства.
shir_permaculture,Пермакультура,~fr-FR~Пермакультура,Пермакультура,~be-BY~Пермакультура,Пермакультура,~kk-KZ~Пермакультура
shir_permaculture2,Пермакультура. Продолжение.,~fr-FR~Пермакультура. Продолжение.,Пермакультура. Продолжение.,~be-BY~Пермакультура. Продолжение.,Пермакультура. Продовження.,~kk-KZ~Пермакультура. Продолжение.
shir_select_area,Выбор участка. Ответы на вопросы.,~fr-FR~Выбор участка. Ответы на вопросы.,Выбор участка. Ответы на вопросы.,~be-BY~Выбор участка. Ответы на вопросы.,Вибір ділянки. Відповіді на питання.,~kk-KZ~Выбор участка. Ответы на вопросы.
shir_clear,Чистки,~fr-FR~Чистки,Чистки,~be-BY~Чистки,Чистки,~kk-KZ~Чистки
shir_pechi_nuans,Печи. Нюансы строительства.,~fr-FR~Печи. Нюансы строительства.,Печи. Нюансы строительства.,~be-BY~Печи. Нюансы строительства.,Печі. Нюанси будівництва.,~kk-KZ~Печи. Нюансы строительства.
shir_answers,Ответы на вопросы. Проекты участников каркас.,~fr-FR~Ответы на вопросы. Проекты участников каркас.,Ответы на вопросы. Проекты участников каркас.,~be-BY~Ответы на вопросы. Проекты участников каркас.,Відповіді на питання. Проекти учасників каркас.,~kk-KZ~Ответы на вопросы. Проекты участников каркас.
shir_last,Заключительная.,~fr-FR~Заключительная.,Заключительная.,~be-BY~Заключительная.,Кінцева.,~kk-KZ~Заключительная.
video_tutorial,Video tutorial,~fr-FR~Video tutorial,Видеоинструкция,~be-BY~Video tutorial,Відеоінструкція,~kk-KZ~Video tutorial
text_recognition,Text Recognition,~fr-FR~Text Recognition,Распознавание текста,~be-BY~Text Recognition,Розпізнавання тексту,~kk-KZ~Text Recognition
save_sql_backup,Save sql backup,~fr-FR~Save sql backup,Сохранить sql базу данных,~be-BY~Save sql backup,Зберегти резервну копію sql,~kk-KZ~Save sql backup
restore_sql_backup,Restore sql backup,~fr-FR~Restore sql backup,Восстановить с резервной копии sql,~be-BY~Restore sql backup,Відновити резервну копію sql,~kk-KZ~Restore sql backup
blog,Blog,~fr-FR~Blog,Дневник,~be-BY~Blog,Щоденник,~kk-KZ~Blog
entr_tpcs,Enter topics,~fr-FR~Enter topics,Введите темы,~be-BY~Enter topics,Введіть теми,~kk-KZ~Enter topics
methodology,Methodology,~fr-FR~Methodology,Методологический,~be-BY~Methodology,Методологічний,~kk-KZ~Methodology
